year,week,team_name,won,game_type
1966,week 1,Green Bay Packers,True,1966 Regular Season
1966,week 1,Los Angeles Rams,True,1966 Regular Season
1966,week 1,St. Louis Cardinals,True,1966 Regular Season
1966,week 1,Detroit Lions,True,1966 Regular Season
1966,week 1,Cleveland Browns,True,1966 Regular Season
1966,week 1,Baltimore Colts,False,1966 Regular Season
1966,week 1,Atlanta Falcons,False,1966 Regular Season
1966,week 1,Philadelphia Eagles,False,1966 Regular Season
1966,week 1,Chicago Bears,False,1966 Regular Season
1966,week 1,Washington Redskins,False,1966 Regular Season
1966,week 2,Los Angeles Rams,True,1966 Regular Season
1966,week 2,Green Bay Packers,True,1966 Regular Season
1966,week 2,St. Louis Cardinals,True,1966 Regular Season
1966,week 2,Dallas Cowboys,True,1966 Regular Season
1966,week 2,Baltimore Colts,True,1966 Regular Season
1966,week 2,Philadelphia Eagles,True,1966 Regular Season
1966,week 2,Pittsburgh Steelers,True,1966 Regular Season
1966,week 2,Chicago Bears,False,1966 Regular Season
1966,week 2,Cleveland Browns,False,1966 Regular Season
1966,week 2,Washington Redskins,False,1966 Regular Season
1966,week 2,New York Giants,False,1966 Regular Season
1966,week 2,Minnesota Vikings,False,1966 Regular Season
1966,week 2,Atlanta Falcons,False,1966 Regular Season
1966,week 2,Detroit Lions,False,1966 Regular Season
1966,week 3,St. Louis Cardinals,True,1966 Regular Season
1966,week 3,Baltimore Colts,True,1966 Regular Season
1966,week 3,Dallas Cowboys,True,1966 Regular Season
1966,week 3,Detroit Lions,True,1966 Regular Season
1966,week 3,Green Bay Packers,True,1966 Regular Season
1966,week 3,Philadelphia Eagles,True,1966 Regular Season
1966,week 3,Washington Redskins,True,1966 Regular Season
1966,week 3,Cleveland Browns,False,1966 Regular Season
1966,week 3,San Francisco 49ers,False,1966 Regular Season
1966,week 3,Minnesota Vikings,False,1966 Regular Season
1966,week 3,Atlanta Falcons,False,1966 Regular Season
1966,week 3,Los Angeles Rams,False,1966 Regular Season
1966,week 3,New York Giants,False,1966 Regular Season
1966,week 3,Pittsburgh Steelers,False,1966 Regular Season
1966,week 4,Los Angeles Rams,True,1966 Regular Season
1966,week 4,Dallas Cowboys,True,1966 Regular Season
1966,week 4,Green Bay Packers,True,1966 Regular Season
1966,week 4,Chicago Bears,True,1966 Regular Season
1966,week 4,Cleveland Browns,True,1966 Regular Season
1966,week 4,St. Louis Cardinals,True,1966 Regular Season
1966,week 4,Washington Redskins,True,1966 Regular Season
1966,week 4,San Francisco 49ers,False,1966 Regular Season
1966,week 4,Atlanta Falcons,False,1966 Regular Season
1966,week 4,Detroit Lions,False,1966 Regular Season
1966,week 4,Minnesota Vikings,False,1966 Regular Season
1966,week 4,New York Giants,False,1966 Regular Season
1966,week 4,Philadelphia Eagles,False,1966 Regular Season
1966,week 4,Pittsburgh Steelers,False,1966 Regular Season
1966,week 5,Cleveland Browns,True,1966 Regular Season
1966,week 5,Chicago Bears,True,1966 Regular Season
1966,week 5,St. Louis Cardinals,True,1966 Regular Season
1966,week 5,Dallas Cowboys,True,1966 Regular Season
1966,week 5,Los Angeles Rams,True,1966 Regular Season
1966,week 5,San Francisco 49ers,True,1966 Regular Season
1966,week 5,Washington Redskins,True,1966 Regular Season
1966,week 5,Pittsburgh Steelers,False,1966 Regular Season
1966,week 5,Baltimore Colts,False,1966 Regular Season
1966,week 5,New York Giants,False,1966 Regular Season
1966,week 5,Philadelphia Eagles,False,1966 Regular Season
1966,week 5,Detroit Lions,False,1966 Regular Season
1966,week 5,Green Bay Packers,False,1966 Regular Season
1966,week 5,Atlanta Falcons,False,1966 Regular Season
1966,week 6,San Francisco 49ers,True,1966 Regular Season
1966,week 6,Green Bay Packers,True,1966 Regular Season
1966,week 6,Baltimore Colts,True,1966 Regular Season
1966,week 6,Minnesota Vikings,True,1966 Regular Season
1966,week 6,New York Giants,True,1966 Regular Season
1966,week 6,Philadelphia Eagles,True,1966 Regular Season
1966,week 6,Atlanta Falcons,False,1966 Regular Season
1966,week 6,Chicago Bears,False,1966 Regular Season
1966,week 6,Detroit Lions,False,1966 Regular Season
1966,week 6,Los Angeles Rams,False,1966 Regular Season
1966,week 6,Washington Redskins,False,1966 Regular Season
1966,week 6,Pittsburgh Steelers,False,1966 Regular Season
1966,week 7,Chicago Bears,True,1966 Regular Season
1966,week 7,Cleveland Browns,True,1966 Regular Season
1966,week 7,Baltimore Colts,True,1966 Regular Season
1966,week 7,Green Bay Packers,True,1966 Regular Season
1966,week 7,Philadelphia Eagles,True,1966 Regular Season
1966,week 7,San Francisco 49ers,True,1966 Regular Season
1966,week 7,Washington Redskins,True,1966 Regular Season
1966,week 7,Los Angeles Rams,False,1966 Regular Season
1966,week 7,Dallas Cowboys,False,1966 Regular Season
1966,week 7,Minnesota Vikings,False,1966 Regular Season
1966,week 7,Atlanta Falcons,False,1966 Regular Season
1966,week 7,New York Giants,False,1966 Regular Season
